Category,Question,Answer
SCIENCE,"(<a href=""http://www.j-archive.com/media/2006-02-06_DJ_13.jpg"" target=""_blank"">Sarah of the Clue Crew reads from the pole vault at Duke University's track in Durham, NC.</a>)  In bending an elastic solid, stress is the force causing deformation & this is the 6-letter term for <a href=""http://www.j-archive.com/media/2006-02-06_DJ_13a.jpg"" target=""_blank"">the deformation</a>",strain
SCIENCE,6 elements once known as inert gases are now known by this aristocratic name,noble gases
SCIENCE,"(<a href=""http://www.j-archive.com/media/2006-02-06_DJ_15.wmv"">A honey-colored retriever named Max tries to lick Cheryl of the Clue Crew as she pets him at NC State University in Raleigh, NC.</a>)  Veterinarians refer to this area of an animal's body as the posterior or this region, from the Latin for ""the tail""",the caudal region
HISTORY,"He filed for divorce citing Leviticus 20:21, ""If a man shall take his brother's wife, it is an unclean thing""",Henry VIII
HISTORY,Historians refer to the Golden Age as the time during which Pericles ruled this city,Athens
HISTORY,"Under the 1814 Treaty of Kiel, this country gave Norway to Sweden but kept Greenland & other islands",Denmark
HISTORY,In February 1904 this country attacked the Russian fleet at Port Arthur,Japan
HISTORY,"On May 30, 1967 Colonel Ojukwu declared Biafra's independence from this country, starting a civil war",Nigeria
HISTORY,"In the midst of the Korean War, this South Korean president was elected to his second of 4 terms",Syngman Rhee
HISTORY,In 1991 this telephone company launched its Friends & Family promotion,MCI
HISTORY,"As of July 1, 1968 you could dial this 3-digit number in New York City & get the police",911
HISTORY,"On Oct. 30, 1938 phone traffic peaked in cities all over America as people discussed this broadcast","the ""War of the Worlds"""
HISTORY,In 1980 Dial-It National Sports became the first service on this new area code,1-900
HISTORY,"In 1880 he invented the photophone, a device that sent messages through the air on beams of light",Alexander Graham Bell
HISTORY,"On May 29, 1765 Patrick Henry's Stamp Act protest was interrupted with this one word",Treason!
SCIENCE,In 1869 this Austrian monk published a paper on hawkweed: the experiments didn't work as well as the ones with peas,Mendel
SCIENCE,Unusual names borne by these celestial objects include 3834 Zappafrank & 10221 Kubrick,asteroids
SCIENCE,"(<a href=""http://www.j-archive.com/media/2010-02-08_DJ_10.jpg"" target=""_blank"">Jimmy of the Clue Crew holds a bicycle wheel</a>)  When I torque a spinning bike wheel, an equal and opposite torque causes me to rotate also, an illustration of the conservation of angular this",momentum
SCIENCE,This 4-letter neutral compound is produced by the reaction of an acid & a base,a salt
SCIENCE,"Plants having these underground stems, from the Greek for ""root"", include irises, bamboo & wild ginger",rhizomes
SCIENCE,In the East Indies certain species of this reptile are called flying dragons because they can glide from tree to tree,Lizards
SCIENCE,"Newton, Cassegrain, Schmidt & Maksutov all have types of this instrument named for them",Telescope
SCIENCE,The flexible neck of this bird of prey allows it to rotate its head an amazing 270 degrees,Owl
SCIENCE,"Change 1 letter in ""protest"" to get this word for a protozoan & others in its kingdom",Protist
SCIENCE,"Sir Humphry Davy named this yellowish-green gas from a Greek word meaning ""greenish-yellow""",Chlorine
SCIENCE,Max Planck gave this name to the smallest amount of energy that can be emitted as electromagnetic radiation,Quantum
SCIENCE,"To scientists, it's force times distance; to Twain, it's ""whatever a body is obliged to do""",Work
SCIENCE,Stoichiometry is defined as the study of the quantities involved in these chemical events,Chemical reactions
SCIENCE,The iris is a flower & the ibis is one of these,Bird
HISTORY,It became a U.S. territory in 1900 & a state 59 years later,Hawaii
SCIENCE,"In a healthy mouth, this line separates the crown from the root of a tooth",Gum Line
HISTORY,Susan B. Anthony was arrested in 1872 for doing this,Voting
SCIENCE,Every summer thousands of these animals go to the Pribilof Islands in the north Pacific to breed,Seals
HISTORY,In 1949 Henry H. Arnold became the first general of this branch of the armed forces,Air Force
SCIENCE,Man-made metal 1st positively identified in 1958 & named for a Swedish inventor; it has no known use,Nobelium
HISTORY,In April 1984 this U.S. government agency admitted its role in the mining of Nicaraguan harbors,CIA
SCIENCE,Take the fibrinogen out of blood plasma & you're left with a fluid called this,Serum
HISTORY,John Hancock held this political position from 1780-85 & from 1787-93,Governor of Massachusetts
LITERACY,"""If"" he ""picked a peck of pickled peppers, where's the peck of pickled peppers"" he ""picked""?",Peter Piper
LITERACY,An evening where 2 couples go out together,a double date
LITERACY,An appointed hour to play golf,tee time
LITERACY,"The almost indestructible flight recording device is known by this ""colorful"" name",the black box
LITERACY,Daisy Buchanan is the object of a racketeer's desire in this 1925 Fitzgerald novel,The Great Gatsby
HISTORY,In 1578 a Mongolian ruler first gave the leader of Tibet's Yellow Hat sect of Buddhism this title,Dalai Lama
HISTORY,"The Vikings founded this city in the mid-800s, probably naming it for a black pool in the river Liffey",Dublin
HISTORY,In 1868 he became the first person of Jewish ancestry to become prime minister of Great Britain,Benjamin Disraeli
HISTORY,In 1793 this former mistress of Louis XV was guillotined for aiding those seeking to restore the monarchy,Madame Dubarry
HISTORY,"This long-range radar ""line"" was established in 1957 to warn the U.S. & Canada of air attack from over the North Pole",DEW (Distant Early Warning) Line
LITERACY,"""Pamela"" is an epistolary one & may be the first English one",a novel
LITERACY,"A villanella, an Italian song, became a villanelle, a French this",a poem
LITERACY,"The name of this literary form also means ""to try""",an essay
LITERACY,"The story of Gisli Sursson, or John Jakes' chronicle of the Kent family",sagas
LITERACY,In the 1880s Guy de Maupassant published 300 of these,short stories
HISTORY,"As president of this country, Antonio Guzman Blanco had a new capital built in Caracas",Venezuela
SCIENCE,His grandfather Erasmus argued in favor of evolution 60 years before he took up the cause himself,(Charles) Darwin
HISTORY,"The USA's second ""drug czar"", Bob Martinez had been governor of this state",Florida
SCIENCE,"This astronomer was born in Pisa, Italy February 15, 1564",Galileo
HISTORY,"To supply Coronado's party, Hernando de Alarcon sailed 3 ships up this river in 1540 to where Yuma, Ariz. is now",the Colorado
SCIENCE,"In 1920, he was named director of the Institute of Theoretical Physics in Copenhagen",(Niels) Bohr
HISTORY,"The dictator of Paraguay from 1816 to 1840 wasn't called just ""El Bueno"" but this superlative",El Supremo
SCIENCE,"Until his death in 1907, this chemist headed the Weights & Measures Bureau in St. Petersburg, Russia",Mendeleev
HISTORY,"Around 1829 this Mexican began calling himself the ""Napoleon of the West""",General Antonio Lopez de Santa Ana
SCIENCE,"In 1855 Napoleon III ""swung"" a deal arranging for his appointment as physicist at the Paris Observatory",Jean Foucault
HISTORY,In 1468 this teen was recognized as heiress to the throne of Castile,Queen Isabella
HISTORY,She was a teenage farm girl when she beat the famous marksman Frank Butler in an 1870s shooting match,Annie Oakley
HISTORY,In the 1850s this future sculptor failed the Ecole des Beaux-Arts entrance exam 3 times (think about it),Rodin
HISTORY,"Betrothed as a teen to her creepy cousin in 1744, she later became a ""Great"" empress of Russia",Catherine the Great
HISTORY,"Apprenticed to a British shipowner as a teen in the 1740s, he became one of the great explorers of the Pacific",Captain Cook
SCIENCE,State of matter a substance is in after it's gone through evaporation,gaseous
SCIENCE,Number of sides on a honeycomb cell or on a snowflake,6
SCIENCE,"We wouldn't fib, your fibula runs parallel with this bone",your tibia
SCIENCE,"A poison in pure form, this element used as a germicide on cuts has a chemical symbol that's a pronoun",iodine
SCIENCE,French mathematician who devised the plotting system that uses coordinates named for him,Rene Descartes
LITERACY,"Harry Angstrom's house burns to the ground in this author's 1971 novel ""Rabbit Redux""",(John) Updike
LITERACY,"In this Anne Tyler novel, a travel writer breaks his leg & moves into his siblings' home",The Accidental Tourist
LITERACY,"The Red Cloud, Nebraska home seen <a href=""http://www.j-archive.com/media/1998-02-25_DJ_08.jpg"" target=""_blank"">here</a> was the model for Antonia's home in a novel by this author:",Willa Cather
LITERACY,"In the novel by Isabel Allende, Clara del Valle Trueba shares a house with these title entities",the Spirits
LITERACY,"In this novel by John Kennedy Toole, Ignatius J. Reilly lives with his mother in her New Orleans home",The Confederacy of Dunces
HISTORY,In December 1974 this former New York governor was sworn in as Vice President,Rockefeller
HISTORY,"In 1951 he told a joint session of congress that he ""tried to do his duty as god gave him the light to see that duty""",(Douglas) McArthur
HISTORY,This political party founded around 1789 stood for a strong central government,the Federalists
HISTORY,His foes said that in 1877 he agreed to withdraw remaining federal troops from the south in return for electoral support,(Rutherford B.) Hayes
HISTORY,"In 1917 the U.S. purchased the islands of St. Croix, St. John & St. Thomas from this country for $25 million",Denmark
HISTORY,"In 1791 this Treasury Secretary issued his ""Report On Manufactures"", a critique of American industry",Alexander Hamilton
HISTORY,"When West Virginia became a state in 1863, Wheeling was its capital; this city became the permanent capital in 1885",Charleston
HISTORY,"In 1698, after an absence of 15 years, he returned to the colony named for his father",William Penn
HISTORY,"On Aug. 2, 1826 at Boston's Faneuil Hall, this great orator delivered a eulogy on Jefferson & Adams",Daniel Webster
HISTORY,"Completed in 1856, California's first railroad ran 22 miles between Sacramento & this prison city",Folsom
SCIENCE,"In metric measurement, 10 millimeters equal 1 of these",a centimeter
LITERACY,"In one Grimm tale, 12 princesses dance these to pieces in an underground castle",their shoes
SCIENCE,"Boyle's Law says normally if you double the pressure on a gas, the volume decreases by this amount",one-half
LITERACY,"Anne Shirley leaves the orphanage to live on this ""colorful"" farm in Avonlea",Green Gables
SCIENCE,In 1973 it became the first comet studied by men in space,Kohoutek
LITERACY,"""The Comic Adventures of"" this elderly woman ""and her Dog"" were first published in 1805",Old Mother Hubbard
SCIENCE,"One mole of any substance always has the same number, 6.022 x 10<sup>23</sup> of these",atoms
LITERACY,Dinarzade is the younger sister of this woman known for her nocturnal stories,Shahrazad
SCIENCE,"This resin, a natural polymer used as a varnish, is produced by insects in India and Myanmar",shellac
LITERACY,"Madeline is one of ""twelve little girls in two straight lines"" who attend a school in this city",Paris
SCIENCE,"It's what the ""A"" stands for in AIDS",acquired
SCIENCE,(Kelly of the Clue Crew stands behind a table)   The experiment showing that two objects weighing the same displace different amounts of water because they have different densities was developed by this mathematician,Archimedes
SCIENCE,In the 1920s Edwin Hubble determined that this galaxy was in fact a separate galaxy from the Milky Way,Andromeda
SCIENCE,These are just small masses of lymphoid tissue in the nasopharynx,adenoids
HISTORY,"Between 1856 & 1860, 2,962 of this faith set out from Iowa & Nebraska to Utah in the Handcart Migration",Mormonism
HISTORY,"On April 2, 1917 President Wilson told Congress, ""The world must be made safe for"" this",democracy
HISTORY,"On April 20, 1971 the U.S. Supreme Court upheld this transportation method as a way to achieve school integration",busing
HISTORY,"John O'Sullivan, who later became a diplomat, coined this term for the USA's right to cover the continent",Manifest Destiny
HISTORY,In 1798 Congress passed this collection of bills to control domestic dissent & conspiracy against the federal govt.,the Alien & Sedition Acts
LITERACY,"The poem called the ""Garibnameh"" contains 11,000 masnavi, which we know as these rhymed 2-line units of verse",couplets
LITERACY,"A religious kaside poem praised God, this man or his son-in-law, Ali Ibn Abi Talib, the fourth caliph",Muhammad
LITERACY,"Sultan Abdulhamid II's censorship hindered Ottoman writers until this ""youthful"" group's 1908 revolution",the Young Turks
LITERACY,"Peter Ustinov directed & starred in the film version of the Yasar Kemal novel ""Memed, My"" this predatory bird",Hawk
LITERACY,"Seyid Imadeddin Nesimi wrote 2 of these poetry collections, also a word from Turkish for a couch",divan
HISTORY,"When ""60 Minutes"" premiered, this man was U.S. president","Lyndon B. Johnson (show premiered Sept. 24, 1968)"
SCIENCE,A nematode is a roundworm; a planarian's shape gives it this name,a flatworm
SCIENCE,"In colenterates like jellyfish, the cavity called the coelenteron has an opening called this--don't get too complex",a mouth
SCIENCE,"In nat. selection, a ref froggus trebekus has .5 relative fitness if it produces 1/2 as many of these as a pink one",offspring
SCIENCE,"In a fish's 2-chambered heart, it's the chamber that receives blood from the veins",atrium
SCIENCE,"The 2 main types of vascular seed plants are gymnosperms & these, 80% of known green plants",angiosperms
LITERACY,"This 1954 book title refers to an impaled sow's head, an offering to the ""beast""",Lord of the Flies
LITERACY,"In chapter 52 of this novel, a boisterous crowd is gathering for Fagin's execution",Oliver Twist
LITERACY,"19th c. author known for writing about a ""venerable mansion"" with ""seven acutely peaked gables""",(Nathaniel) Hawthorne
LITERACY,"People from the past appear to a brother & sister in ""Rewards and Fairies"" by this author of ""The Jungle Book""",Kipling
LITERACY,"Modern novels with biblical titles include Jane Hamilton's ""The Book of Ruth"" & Toni Morrison's ""Song of"" him",Solomon
LITERACY,Even Grendel would love Seamus Heaney's new translation of the Anglo-Saxon epic about this title geat,Beowulf
LITERACY,"He said, ""My mother was an ape, and of course she couldn't tell me much about it""",Tarzan
LITERACY,"In ""A Connecticut Yankee in King Arthur's Court"", his character puts Hank Morgan to sleep for 1,300 years",Merlin
LITERACY,"He tells his 10-year-old sister Phoebe that he wants to be a ""catcher in the rye""",Holden Caulfield
LITERACY,Emma is the first name of this title character of an 1857 Gustave Flaubert novel,Madame Bovary
LITERACY,This Sinclair Lewis real estate broker is a member of the Zenith civic booster club,George Babbitt
HISTORY,"""The Quest for Camelot"" featured Pierce Brosnan as the voice of this Valiant Ruler",King Arthur
HISTORY,"Kathy Bates played the real-life ""Unsinkable"" Molly Brown in this Leonardo DiCaprio adventure",Titanic
HISTORY,"""The Prince of Egypt"" featured Ralph Fiennes as the voice of this stubborn ruler",the Pharaoh
HISTORY,"In ""Sahara"", set in this war, German soldiers attack Humphrey Bogart at a desert oasis",World War II
HISTORY,In this famous film Scarlett O'Hara doesn't let the South losing the Civil War slow her down,Gone With the Wind
LITERACY,"Head to Odense, Denmark to see his childhood home & sculptures inspired by his fairy tales",(Hans Christian) Andersen
LITERACY,"To see the Great Bed of Ware mentioned in ""Twelfth Night"", go to this museum named for a royal couple",the Victoria and Albert Museum (Victoria & Albert accepted)
LITERACY,"Have a homey lunch at this author's Salinas, California birthplace; it's now a restaurant",John Steinbeck
LITERACY,Chat about Lady Chatterley at this author's birthplace museum in Nottinghamshire,D.H. Lawrence
LITERACY,"Perhaps you'll draft your Nobel Prize acceptance speech at NYC's Algonquin Hotel, as this Mississippi man did in 1950",Faulkner
LITERACY,"This character said, ""I will live in the past, the present, and the future.  The spirits of all three shall strive within me""",Ebenezer Scrooge
LITERACY,"Delicious ""Doone"" damsel (5)",Lorna
LITERACY,"Jack's ""capital"" surname (6)",London
LITERACY,"A singable poem, perhaps ""of the Last Minstrel"" (3)",lay
LITERACY,Imagist Amy (6),Lowell
LITERACY,Writer Wyndham (5),Lewis
LITERACY,Jules Verne-Wilkie Collins sci-fi/detective novel about Civil War vets who want to shoot a cannon into a gem,From the Earth to the Moonstone
LITERACY,"Novel-poem in which Sal & Dean hitchhike through a yellow wood where the path diverges, making all the difference",On the Road Not Taken
LITERACY,"Faulkner novel about Joe Christmas that's the Swedish playwright of ""The Dance of Death""",The Light in August Strindberg
HISTORY,"In a June 19, 1846 game, J.W. Davis of the N.Y. Nine was fined 6 cents for swearing at this person",the umpire
HISTORY,"To injure opposing players, Ty Cobb was said to sharpen these",his spikes
HISTORY,Topps' 1952 series No. 311 was this player's first card & is a holy grail among collectors,Mickey Mantle
HISTORY,2 of the 5 cities that had both National League & American League teams in 1903,"(2 of 5) Boston, Chicago, New York, Philadelphia, St. Louis"
HISTORY,"During his 22-year career he walked a then-record 2,056 times",Babe Ruth
SCIENCE,"In June 1991 weightlessness experiments were conducted on about 2,500 jellyfish aboard this",the Space Shuttle
SCIENCE,"The ARS, an agency of this U.S. government department, is looking to develop better bio-insecticides",the Department of Agriculture
SCIENCE,"Despite the fierce appearance of <a href=""http://www.j-archive.com/media/2009-11-24_J_04.jpg"" target=""_blank"">this</a> plated beast, scientists believe it to have been an herbivore",a Stegosaurus
SCIENCE,"Platinum, atomic number 78, is worth more than this other metal, atomic number 79",gold
SCIENCE,"In 2009 a new hominid skeleton dubbed Ardi was aged at 4.4 million years, predating this other ""girly"" find by 1 mil. years",Lucy
LITERACY,"Meg, Jo, Beth & Amy March have crushes on Rupert Birkin & Gerald Crich in this D.H. Lawrence novel",Little Women in Love
LITERACY,Daisy Miller & Natty Bumppo could have joined forces in a novel by this author,Henry James Fenimore Cooper
LITERACY,Clym Yeobright comes back home & is killed by Bigger Thomas in this Thomas Hardy-Richard Wright work,Return of the Native Son
LITERACY,American ambulance driver Frederic Henry satirizes romantic ideas about war in this work by Hemingway & Shaw,A Farewell to Arms and the Man
LITERACY,The horror!  The horror!  Marlow travels up the Congo to find Kurtz & Rubashov in a totalitarian prison state,Heart of Darkness at Noon
HISTORY,"This Navy commander flew from a base at Little America to the South Pole & back Nov. 28-29, 1929",Admiral Richard Byrd
HISTORY,"Accused of accepting bribes, Francis Bacon was imprisoned in this forbidding complex in 1621",Tower of London
HISTORY,"More than 250,000 died in fighting before France granted this African nation independence July 3, 1962",Algeria
HISTORY,In 1784 she founded the city of Sevastopol in her new domain of the Crimea,Catherine the Great
HISTORY,"This Portuguese ""Admiral of the Indian Seas"" discovered & named the Amirante Islands",Vasco da Gama
LITERACY,"This clergyman who wrote ""The Short History of New-England"" in 1694 was the son of Increase Mather",Cotton Mather
LITERACY,"He wrote ""Cadillac Jack"" & ""Lonesome Dove"" after ""Terms of Endearment""",Larry McMurtry
LITERACY,He lived for several weeks among the cannibalistic Typee before he wrote the book of the same name,Herman Melville
LITERACY,Jack Kerouac's 1957 novel about the adventures of Dean Moriarty & friends as they travel the U.S.,"""On The Road"""
LITERACY,"It was called ""A Poem  Of Walt Whitman, An American"" before it was called this","""Song of Myself"""
SCIENCE,This method of preserving food by killing bacteria was developed by a French chemist in the 1860s,Pasteurization
SCIENCE,In 1906 she succeeded her husband as professor of physics at the Sorbonne,Marie Curie
SCIENCE,"The ""master plan of all life"", it consists of thymine, adenine, guanine, cytosine, phosphate & deoxyribose",DNA  (deoxyribonucleic acid)
SCIENCE,"Of the noble gases, it's first, alphabetically, was the first discovered & is the most abundant in air",Argon
SCIENCE,This tiny planet's thin atmosphere is mostly composed of helium & sodium thought to come from the solar wind,Mercury
HISTORY,They've been guarding British royalty since 1485 & gin bottles since 1820,Beefeaters
HISTORY,"Founder of the nursing profession, she was named after the city in which she was born",Florence Nightingale
HISTORY,First Roman army to invade Britain was led by this general,Caesar
HISTORY,"The penultimate Anglo-Saxon king, Edward was known by this pious title",Edward the Confessor
HISTORY,"Though it sounds like a grim volume, it's just William the Conqueror's survey of the British kingdom",The Domesday Book
LITERACY,"William Wells Brown's ""Clotel; or, The President's Daughter"" is about the kids this man allegedly had with a slave",Thomas Jefferson
LITERACY,"He wrote ""The Bride Comes to Yellow Sky"", ""The Blue Hotel"" & ""The Red Badge of Courage""",Stephen Crane
LITERACY,"Edward Bellamy's 1888 book ""Looking Backward"" sends a man to this year & doesn't mention computer bugs",2000
LITERACY,Ydgrun is a goddess worshipped by residents of this Samuel Butler country,Erewhon
LITERACY,"Oscar Wilde wrote ""The Picture of Dorian Gray"" & he wrote ""The Portrait of A Lady""",Henry James
LITERACY,"Ellen Glasgow, a native of this Virginia capital, set several novels there but called it ""Queenborough""",Richmond
LITERACY,"Title character who says, ""Why did you paint it?  It will mock me some day — mock me horribly!""",Doran Gray
LITERACY,"She wrote in ""Emma"", ""One half of the world cannot understand the pleasures of the other""",Jane Austen
LITERACY,"This ""Madame Bovary"" author visited Tunisia to research ""Salammbo"", his novel about Carthage",Flaubert
LITERACY,"""Eugenie Grandet"" is considered one of the finest novels in his series ""La Comedie Humaine""",Balzac
LITERACY,"A contemporary review of this 1851 novel said, ""Who would have looked for... poetry in blubber?""",Moby-Dick
HISTORY,"In 1991 B.C. Amenemhet, a former vizier, founded this country's 12th dynasty",Egypt
HISTORY,"Because his proposals for constitutional change were defeated, this French president resigned in 1969",Charles de Gaulle
HISTORY,In 1919 this national assembly met in this city & formed a new German republic,Weimar
HISTORY,The parents of this Peruvian president immigrated from Japan 4 years prior to his birth,Fujimori
HISTORY,About 3000 B.S. the Sumerians invented this writing system which used triangular marks,cuneiform
HISTORY,"In 213 B.C., Ch'in Shih Huang-ti ordered all of these burned, except the ones in the imperial library",books
LITERACY,"In F. Scott Fitzgerald's classic novel, Nick Carraway lives next door to this title character",the Great Gatsby
HISTORY,This pupil of Socrates went to Sicily to try to turn Dionysius into a philosopher king,Plato
LITERACY,"Part I of this Willa Cather novel is entitled ""The Wild Land""",O Pioneers!
HISTORY,"Tikal became an important ceremonial center of this civilization, prior to 300 A.D.",the Mayans
LITERACY,"His novel ""Daisy Miller"" opens at the Trois Couronnes hotel in Vevey, Switzerland",Henry James
HISTORY,He was only 16 when he became Roman emperor upon the death of Claudius,Nero
LITERACY,"He published his third novel, ""A Cool Million"", in 1934, one year after ""Miss Lonelyhearts""",Nathanael West
HISTORY,This Old Kingdom capital of Egypt was originally named Hikouptah,Memphis
LITERACY,"In English, Ivan Turgenev's novel ""Ottsy i Deti"" is known by this ""familial"" title""",Fathers and Sons
LITERACY,"This Seuss character who lived in a cave ""stood there on Christmas Eve, hating the Whos""",the Grinch
LITERACY,"This Harry Potter bad guy's name is French for ""flight from death""",Voldemort
LITERACY,"This villainess of ""The Wizard of Oz"" ruled over the Winkies",the Wicked Witch of the West
LITERACY,"Mrs. Augustine St. Clare sold Uncle Tom to this brutal, alcoholic plantation owner who later beat him to death",Simon Legree
LITERACY,"This villainous aide in a Shakespeare play states flatly, ""I hate the Moor""",Iago
LITERACY,"Wyndham,  C.S., Sinclair",Lewis
LITERACY,"C.K., Emlyn, Tennessee",Williams
LITERACY,"John, Taylor, Erskine",Caldwell
LITERACY,"Frank, Hart, Stephen",Crane
LITERACY,"Walter M., Arthur, Henry",Miller
HISTORY,In the late '60s this character was created to show children it's okay to be grumpy,"Oscar the Grouch (from \""Sesame Street\"")"
SCIENCE,"(Cheryl of the Clue Crew reports from Colorado)  As snowflakes are frozen water vapor, they're made up of these 2 chemical elements",hydrogen & oxygen
SCIENCE,The forked type of this runs unobstructed between the clouds & the ground,lightning
SCIENCE,(Sofia of the Clue Crew reports from New York's Central Park)  Autumn leaves turn golden red as shorter days & cooler nights cause the breakdown of this green pigment,chlorophyll
SCIENCE,"The frequency of a note is measured in this, abbreviated Hz",hertz
SCIENCE,"(Sofia of the Clue Crew reports)  Botanists divide a flower into four main parts: sepals, petals, stamens & these",pistils
HISTORY,"This dominion was created by the British North America Act on July 1, 1867",Canada
HISTORY,"On May 9, 1946 this country's King Victor Emmanuel abdicated in favor of his son Umberto",Italy
HISTORY,"In 1763, as a result of this numerical war, Florida became a British possession",Seven Years' War
HISTORY,"In 1864 Austria & Prussia went to war with Denmark, winning Schleswig & this duchy",Holstein
HISTORY,"In 1832 Otto, a Bavarian prince, was named the first king of this Balkan country",Greece
LITERACY,"In this 1866 Dostoevsky novel, a student named Raskolnikov murders an old woman pawnbroker & her sister",Crime and Punishment
LITERACY,"By 1890 this author & playwright had written hundreds of short stories, including ""The Steppe""",Chekhov
LITERACY,"Wounded in World War I, Yuri Zhivago is nursed back to health by this woman who was to become his mistress",Lara
LITERACY,"Lev Rubin in this Soviet dissident's ""The First Circle"" was based on 1960s Russian civil rights figure Lev Kopelev",Solzhenitsyn
LITERACY,"This ""Taras Bulba"" author wrote his masterpiece ""Dead Souls"" while living in Rome",(Nikolay) Gogol
HISTORY,"In 1429, she was given control of troops in France",Joan of Arc
HISTORY,"Using photos he had taken the month before, Clyde Tombaugh discovered this planet February 18, 1930",Pluto
HISTORY,In February 1984 he announced his resignation as Prime Minister of Canada,Trudeau
HISTORY,Every president since Taft has been an honorary president of this organization founded in the U.S. in Feb. 1910,the Boy Scouts
HISTORY,"In a 1778 treaty, the U.S. and France granted each other this commerce ""status""",most favored nation
LITERACY,This object from Arthurian & Christian legend has come to mean the object of any difficult quest,the Holy Grail
LITERACY,"A type of nonsexual love is named for this Greek philosopher who discussed it in his ""Symposium""",platonic (or Plato)
LITERACY,"This term for an idyllic place can be checked out in the James Hilton work ""Lost Horizon""",Shangri-La
LITERACY,Jonathan Swift created Lilliputians; this author created Munchkins,(Frank) Baum
LITERACY,"""The shot heard round the world"" was first heard in this man's ""Concord Hymn""",Ralph Waldo Emerson
LITERACY,"Chapter 13 of this classic novel is called ""Another View of Hester""",The Scarlet Letter
LITERACY,"He published the first 4 of his fairy tales in an 1835 pamphlet; ""The Tinder Box"" was among them",Hans Christian Andersen
LITERACY,"Nicodemus Frapp is a narrow-minded evangelist in ""Tono-Bungay"", a 1909 novel by this author of ""The Time Machine""",H.G. Wells
LITERACY,"This author of ""The Good Earth"" based the heroine of her 1938 novel ""This Proud Heart"" on herself",Pearl Buck
LITERACY,"In Wonderland, Alice comes across a large one of these with a snooty caterpillar atop it",a mushroom
LITERACY,"""We looked!  Then we saw him step in on the mat!  We looked!  And we saw him!""  This famous cat",the Cat in the Hat
LITERACY,"In a fairy tale by this Danish author, the Snow Queen takes little Kay away in her sleigh to her icy palace",Hans Christian Andersen
LITERACY,"In ""Little Women"", Margaret March is better known by this nickname","""Meg"""
LITERACY,This loving relative who takes care of Tom Sawyer was inspired by Mark Twain's own mother,Aunt Polly
LITERACY,"This author who wrote about ""The Princess Who Could Not Laugh"" made us smile with ""Winnie-the-Pooh""",A.A. Milne
SCIENCE,"This striped mammal reportedly can fire 6 shots of its foul spray before having to ""resupply""",Skunk
SCIENCE,Some members of the genus Aedes of this insect transmit yellow fever,Mosquito
SCIENCE,The Jacobson's organ at the roof of this legless reptile's mouth is used with its tongue to detect odors,Snake
SCIENCE,This innermost & larger of Mars' 2 moons orbits the planet every 7.65 hours,Phobos
SCIENCE,"A magnetic field is measured in units called gauss or this after a real ""coil"" guy",Nikola Tesla
SCIENCE,A rectifier is an electrical device used to convert alternating current to this,direct current
SCIENCE,"On Earth, it's the major force responsible for the weight of a body",gravity
SCIENCE,"At 15 on the modified Mohs' scale, this substance still has the highest hardness number",a diamond
SCIENCE,"Abbreviated ""P"", this element comes in red, white, & black forms",phosphorus
HISTORY,"Peregrine White, the 1st child born in New England of English parents, was born on this ship",the Mayflower
HISTORY,Year in which Franklin Roosevelt was elected for an unprecedented 3rd term as president,1940
HISTORY,"Before he was Canada's P.M., William Lyon Mackenzie King lived in this famous house with Jane Addams",Hull House (in Chicago)
